中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
47.242.202.230,443,47.242.202.230,HK,Hong Kong,中转,280 ms,43 Mbps,5537 kB/s,5537.0
144.24.189.21,443,144.24.189.21,DE,Frankfurt,中转,106 ms,42 Mbps,5453 kB/s,5453.0
158.101.148.105,443,158.101.148.105,JP,Hong Kong,中转,260 ms,41 Mbps,5302 kB/s,5302.0
193.123.93.103,443,193.123.93.103,AE,Paris,中转,259 ms,41 Mbps,5274 kB/s,5274.0
47.90.141.204,443,91.149.239.198,US,Los Angeles,隧道,22 ms,39 Mbps,5022 kB/s,5022.0
138.2.122.191,443,138.2.122.191,KR,Tokyo,中转,174 ms,38 Mbps,4971 kB/s,4971.0
152.70.86.93,443,152.70.86.93,JP,Hong Kong,中转,204 ms,38 Mbps,4897 kB/s,4897.0
141.144.232.159,443,141.144.232.159,DE,Frankfurt,中转,151 ms,37 Mbps,4782 kB/s,4782.0
193.123.81.105,443,193.123.81.105,AE,Frankfurt,中转,378 ms,36 Mbps,4609 kB/s,4609.0
132.226.7.217,443,132.226.7.217,JP,Tokyo,中转,259 ms,35 Mbps,4598 kB/s,4598.0
138.3.222.135,443,138.3.222.135,JP,Tokyo,中转,210 ms,33 Mbps,4238 kB/s,4238.0
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,62 ms,32 Mbps,4158 kB/s,4158.0
140.238.195.98,443,140.238.195.98,AU,Sydney,中转,196 ms,31 Mbps,4023 kB/s,4023.0
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,294 ms,31 Mbps,3975 kB/s,3975.0
138.2.18.184,443,138.2.18.184,JP,Tokyo,中转,242 ms,30 Mbps,3928 kB/s,3928.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,207 ms,29 Mbps,3791 kB/s,3791.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,192 ms,28 Mbps,3676 kB/s,3676.0
47.242.41.222,443,47.242.41.222,HK,Hong Kong,中转,268 ms,24 Mbps,3172 kB/s,3172.0
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,206 ms,23 Mbps,3001 kB/s,3001.0
193.123.69.77,443,193.123.69.77,AE,,中转,242 ms,23 Mbps,2960 kB/s,2960.0
139.185.34.131,443,139.185.34.131,AE,,中转,237 ms,22 Mbps,2935 kB/s,2935.0
47.74.4.97,443,47.74.4.97,JP,Tokyo,中转,152 ms,18 Mbps,2356 kB/s,2356.0
47.245.33.33,443,47.245.33.33,JP,Tokyo,中转,235 ms,17 Mbps,2240 kB/s,2240.0
138.3.222.33,443,138.3.222.33,JP,Tokyo,中转,226 ms,16 Mbps,2116 kB/s,2116.0
140.238.15.251,443,140.238.15.251,KR,Seoul,中转,168 ms,9 Mbps,1152 kB/s,1152.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,36 ms,6 Mbps,858 kB/s,858.0
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,210 ms,2 Mbps,329 kB/s,329.0
47.241.209.61,443,8.222.175.6,SG,,隧道,279 ms,2 Mbps,277 kB/s,277.0
43.204.146.16,443,43.204.146.16,IN,,中转,230 ms,1 Mbps,253 kB/s,253.0
152.70.234.188,443,152.70.234.188,KR,Tokyo,中转,172 ms,1 Mbps,218 kB/s,218.0
47.254.65.110,443,47.254.65.110,US,San Jose,中转,76 ms,1 Mbps,212 kB/s,212.0
8.219.240.160,443,8.219.240.160,SG,Singapore,中转,211 ms,1 Mbps,168 kB/s,168.0
193.122.61.167,443,193.122.61.167,DE,,中转,179 ms,1 Mbps,129 kB/s,129.0
146.56.132.247,443,146.56.132.247,KR,Tokyo,中转,273 ms,0 Mbps,117 kB/s,117.0
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,204 ms,0 Mbps,103 kB/s,103.0
47.57.14.118,443,47.254.16.242,US,San Jose,隧道,195 ms,0 Mbps,38 kB/s,38.0
8.210.92.27,443,8.210.92.27,HK,Hong Kong,中转,195 ms,0 Mbps,35 kB/s,35.0
130.61.87.219,443,130.61.87.219,DE,,中转,106 ms,0 Mbps,13 kB/s,13.0
8.219.111.175,443,8.219.111.175,78 Mbps,10035 kB/s,,,,,
