中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
144.21.39.96,443,2a0b:21c0:100a:1b2:0:4f9d:8725:541e,DE,Frankfurt,隧道,185 ms,96 Mbps,12288 kB/s
129.148.52.110,443,129.148.52.110,BR,São Paulo,中转,213 ms,50 Mbps,6426 kB/s
146.70.175.164,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,192 ms,201 Mbps,25804 kB/s
152.67.9.19,443,2603:c021:4000:8d00:9af0:7aa6:dbc4:575c,IN,Mumbai,隧道,233 ms,61 Mbps,7863 kB/s
8.222.213.221,443,8.222.213.221,SG,Singapore,中转,384 ms,55 Mbps,7166 kB/s
8.219.245.187,443,8.219.245.187,SG,Singapore,中转,250 ms,56 Mbps,7187 kB/s
8.222.221.86,443,8.222.221.86,SG,Singapore,中转,321 ms,64 Mbps,8221 kB/s
128.1.18.29,443,23.251.99.28,US,San Jose,隧道,146 ms,3 Mbps,429 kB/s
47.236.87.206,443,47.236.87.206,SG,Singapore,中转,304 ms,55 Mbps,7082 kB/s
129.150.37.58,443,2603:c024:4501:7300:2a3e:1e46:3cd1:7bcf,SG,Singapore,隧道,207 ms,70 Mbps,9085 kB/s
8.217.149.28,443,8.217.149.28,HK,Hong Kong,中转,199 ms,67 Mbps,8583 kB/s
146.70.169.115,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,210 ms,184 Mbps,23654 kB/s
140.238.52.86,443,140.238.52.86,JP,Tokyo,中转,160 ms,42 Mbps,5492 kB/s
8.219.103.126,443,8.219.103.126,SG,Singapore,中转,366 ms,50 Mbps,6490 kB/s
192.18.148.248,443,192.18.148.248,CA,Toronto,中转,38 ms,73 Mbps,9436 kB/s
3.67.232.136,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,106 ms,187 Mbps,23961 kB/s
43.205.48.107,443,43.205.48.107,IN,,中转,220 ms,51 Mbps,6592 kB/s
138.2.226.15,443,2a09:bac5:6447:1232::1d0:5d,US,San Jose,隧道,52 ms,48 Mbps,6180 kB/s
146.70.175.173,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,103 ms,176 Mbps,22528 kB/s
8.222.180.242,443,8.222.180.242,SG,Singapore,中转,252 ms,39 Mbps,5113 kB/s
146.70.175.112,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,162 ms,172 Mbps,22118 kB/s
140.238.13.96,443,140.238.13.96,KR,Seoul,中转,174 ms,80 Mbps,10240 kB/s
146.70.175.175,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,102 ms,167 Mbps,21401 kB/s
18.159.105.97,443,3.68.128.205,DE,,隧道,107 ms,170 Mbps,21811 kB/s
3.68.62.122,443,3.68.128.205,DE,,隧道,108 ms,171 Mbps,21913 kB/s
8.211.55.176,443,8.211.55.176,DE,Frankfurt,中转,107 ms,6 Mbps,802 kB/s
146.70.175.126,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,149 ms,201 Mbps,25804 kB/s
152.67.218.88,443,2603:c024:6:f900:97a1:6718:95de:16d7,KR,Seoul,隧道,170 ms,100 Mbps,12902 kB/s
8.222.221.109,443,8.222.221.109,SG,Singapore,中转,337 ms,64 Mbps,8194 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,97 ms,52 Mbps,6672 kB/s
192.18.141.9,443,2603:c024:c002:be00:ad91:5119:57f7:6e8e,US,San Jose,隧道,53 ms,418 Mbps,53555 kB/s
8.210.119.11,443,8.210.119.11,HK,Hong Kong,中转,193 ms,69 Mbps,8867 kB/s
150.230.221.148,443,150.230.221.148,JP,Tokyo,中转,216 ms,99 Mbps,12697 kB/s
139.185.41.233,443,2603:c026:8000:2016:b0d7:fdf0:3da8:b59d,AE,Paris,隧道,209 ms,52 Mbps,6734 kB/s
8.219.84.102,443,8.219.84.102,SG,Singapore,中转,336 ms,64 Mbps,8203 kB/s
146.70.175.184,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,102 ms,184 Mbps,23552 kB/s
8.218.126.53,443,8.218.126.53,HK,Hong Kong,中转,191 ms,69 Mbps,8889 kB/s
8.219.159.232,443,8.219.159.232,SG,Singapore,中转,253 ms,59 Mbps,7625 kB/s
130.162.167.174,443,2a0b:21c0:100a:1b1:0:34df:3e20:dfca,DE,Frankfurt,隧道,106 ms,107 Mbps,13721 kB/s
8.222.144.117,443,8.222.144.117,SG,Singapore,中转,250 ms,51 Mbps,6610 kB/s
8.218.156.91,443,8.218.156.91,HK,Hong Kong,中转,197 ms,80 Mbps,10342 kB/s
164.152.17.14,443,164.152.17.14,US,,中转,51 ms,26 Mbps,3411 kB/s
146.70.175.110,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,103 ms,168 Mbps,21504 kB/s
193.122.12.116,443,2a0b:21c0:1007:c8:0:eb1d:7383:9b76,DE,Frankfurt,隧道,106 ms,177 Mbps,22732 kB/s
8.219.4.122,443,8.219.4.122,SG,Singapore,中转,368 ms,48 Mbps,6225 kB/s
144.21.51.110,443,144.21.51.110,GB,Brussels,中转,124 ms,184 Mbps,23654 kB/s
146.56.132.247,443,146.56.132.247,KR,Tokyo,中转,172 ms,32 Mbps,4115 kB/s
8.219.104.242,443,8.219.104.242,SG,Singapore,中转,254 ms,46 Mbps,5890 kB/s
8.219.250.239,443,8.219.250.239,SG,Singapore,中转,250 ms,59 Mbps,7563 kB/s
146.56.151.2,443,146.56.151.2,KR,Seoul,中转,169 ms,97 Mbps,12492 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,275 ms,74 Mbps,9567 kB/s
146.56.187.213,443,2a09:bac1:3f20:90::16:1f7,KR,Tokyo,隧道,175 ms,40 Mbps,5155 kB/s
141.144.228.36,443,2a0b:21c0:1007:1cb:0:a202:fae9:7a52,DE,Frankfurt,隧道,106 ms,203 Mbps,26009 kB/s
8.219.188.162,443,8.219.188.162,SG,Singapore,中转,250 ms,55 Mbps,7130 kB/s
47.243.173.187,443,47.243.173.187,HK,Hong Kong,中转,198 ms,51 Mbps,6570 kB/s
8.219.196.117,443,8.219.196.117,SG,Singapore,中转,251 ms,55 Mbps,7042 kB/s
98.98.49.226,443,98.98.49.226,HK,Hong Kong,中转,294 ms,13 Mbps,1728 kB/s
146.70.175.117,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,103 ms,156 Mbps,20070 kB/s
8.219.114.201,443,8.219.114.201,SG,Singapore,中转,258 ms,64 Mbps,8196 kB/s
146.70.175.185,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,105 ms,179 Mbps,22937 kB/s
8.222.208.38,443,8.222.208.38,SG,Singapore,中转,251 ms,50 Mbps,6516 kB/s
129.153.213.8,443,129.153.213.8,US,Los Angeles,中转,58 ms,49 Mbps,6345 kB/s
146.70.169.114,443,2001:ac8:22:18::8192,NL,Amsterdam,隧道,102 ms,176 Mbps,22630 kB/s
8.222.175.6,443,8.222.175.6,SG,,中转,250 ms,28 Mbps,3615 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,67 ms,285 Mbps,36556 kB/s
152.67.214.73,443,152.67.214.73,KR,Seoul,中转,171 ms,84 Mbps,10854 kB/s
8.219.247.203,443,8.219.247.203,SG,Singapore,中转,252 ms,55 Mbps,7125 kB/s
141.147.52.239,443,2606:f240:f00:6acf:0:19a:c234:e007,US,Frankfurt,隧道,106 ms,175 Mbps,22425 kB/s
47.245.96.163,443,47.245.96.163,SG,Singapore,中转,251 ms,48 Mbps,6186 kB/s
8.219.84.214,443,8.219.84.214,SG,Singapore,中转,357 ms,48 Mbps,6223 kB/s
158.178.227.28,443,2603:c024:4501:7300:ef0c:523a:a261:ba29,SG,Singapore,隧道,265 ms,69 Mbps,8925 kB/s
8.219.198.139,443,8.219.198.139,SG,Singapore,中转,251 ms,56 Mbps,7192 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,204 ms,30 Mbps,3840 kB/s
8.219.122.96,443,8.219.122.96,SG,Singapore,中转,327 ms,55 Mbps,7098 kB/s
8.219.145.245,443,8.219.145.245,SG,Singapore,中转,250 ms,55 Mbps,7146 kB/s
8.219.161.129,443,8.219.161.129,SG,Singapore,中转,250 ms,53 Mbps,6870 kB/s
23.90.144.170,443,23.90.151.62,DE,Frankfurt,隧道,105 ms,181 Mbps,23244 kB/s
